cell_line_cond,cell_line,chk1i,mk2i,pChk2,cCasp3,cPARP,pan_Akt,Axin2,PTK7,pH2A.X,pChk1,pSmad1/8,YAP,pMEK1/2,pAkt,pSmad2/3,PROM1,pNF-κB,p-p38,EphB2,pCDC25c,LGR5,Ki-67,IκBα,Vimentin,CD44,EpCAM,pAkt_T308,CD24,p4e-BP1,pERK1/2,p-p53,act Notch-1,total_ERK,pS6
SW620_D_res_DMSO,SW620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW620_D_res_Chk1i,SW620,1,0,0.138430201285465,0.088786875247528,0.436271186263623,-0.14730872772495,0.10568875241828,-0.114781071058471,1.16354511022015,0.449917647860837,0.322641194083317,0.127820557935963,0.124257883874117,0.078781337443063,-0.113030830412769,0.226249367946116,0.307181547284326,0.313427149602671,-0.076030218415275,0.043619585486605,0.759332729348967,0.203915552843695,-0.054586077674395,0.060496682884065,-0.087655652891054,-0.172928927241179,-0.036362669456131,-0.000768082743231,0.080027530208563,1.08188653437508,0.952188100315046,0.033496554848684,0.288044242662948,-0.881687099681859
SW620_D_res_Mk2i,SW620,0,1,-0.163436224625476,-0.136150793789931,-0.571182331651814,-0.024080768559307,-0.159450880248675,-0.039083017890296,0.172927709332843,-0.277741606290698,-0.176582742442231,0.06916425807974,-0.08281607760765,-0.067644502377504,-0.02950298911261,-0.027094013284121,-0.009384335519239,0.031686764537326,-0.112066523333519,-0.013074951015071,-0.336923326243365,0.153775893222126,-0.005817134595508,0.024992203579362,-0.590484053343238,-0.003012388094798,-0.792996336290269,0.103383106693437,0.0640596990608,-0.203215317679872,0.476385589302086,-0.020181797786863,-0.027004364690069,-0.395267808768841
SW620_D_res_Chk1iMk2i,SW620,1,1,0.143854628349691,0.089345824021573,0.522938649652093,-0.146685351549984,0.10305266596041,-0.011071008628472,1.25093873179064,0.534647212953964,0.349562989976241,0.137605111448545,0.132069233066454,0.047279796211118,-0.097459787369903,0.184935784598168,0.299580116864143,0.378746413389072,-0.090285741142645,0.045174295082672,0.51910722906143,0.131265333169714,-0.132838422817478,0.042200493132291,-0.093735988541008,-0.159353492581359,-0.133053842802081,0.041754939976414,0.066770544431653,1.0690929068694,1.01201031877322,0.010143633719584,0.21652709962632,-1.03946934506242
SW480_D_res_DMSO,SW480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW480_D_res_Chk1i,SW480,1,0,0.097235624997861,0.061821052195213,0.428013460116541,-0.057314704884225,0.200416142974681,-0.033525798962909,1.06134269239128,0.449523698986673,0.10923633458667,0.053419448049348,0.114994629632318,0.171115792919347,-0.03411616764335,0.412457841043142,0.249017728546877,0.317528799389084,0.335564400425263,0.089787307092063,0.58882958500212,0.495073401148182,-0.02835260547768,-0.012327064442271,0.185495326157887,0.022694813883812,0.41320873018733,0.455763962557215,0.028983169959727,0.302379935937079,0.868617692396332,0.007259369210621,0.242730781053776,0.046376509443719
SW480_D_res_Mk2i,SW480,0,1,0.005643078260195,0.010505827942862,0.004376900297898,-0.039064470884736,-0.015009619681618,0.055296169578895,0.206840374509158,0.027299223138772,0.040206065310335,0.007649577541716,0.034292762482101,-0.000124192091671,-0.047546384749716,-0.033069201917173,0.11652365637726,0.06457961199416,0.03449681275205,0.005251438537698,-0.013004391052029,0.060594639517205,-0.052125086167575,-0.009053876018657,-0.129744308392588,-0.019891950428001,-0.03777354025868,-0.157142384105857,-0.033001108937692,-0.020360875771892,0.341194835084186,-0.031533447335817,0.109205838777731,-0.471070279460453
SW480_D_res_Chk1iMk2i,SW480,1,1,0.129289832309698,0.077932005214068,0.398025021108061,-0.014211170549938,0.094551479227942,-0.025470099069278,1.13545743921567,0.515842453572305,0.109118800260857,-0.02325910520262,0.094290143232068,-0.082894822973104,-0.012153268302234,0.305084407920034,0.336250201068213,0.38752615626402,0.184374228189151,0.027453266048701,0.453417299801845,0.320356686597225,-0.259068932622482,-0.000368532906365,-0.071577646815959,0.052779637523239,0.052226249529705,0.298684686098056,-0.000136718286153,0.331284602753135,0.974030030435231,-0.044459257842217,0.14274173134627,-0.33025212142943
HCT116_D_res_DMSO,HCT116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCT116_D_res_Chk1i,HCT116,1,0,0.070747010591661,0.042794963627886,0.195040687993142,0.048741008839322,0.046832999331455,-0.010521758051089,0.546021052171082,0.147375308726155,0.093262780140108,0.025603873145948,-0.055255362169093,0.002118023881805,0.08794743435754,0.01106243020349,-0.009390375236941,0.032125898160377,-0.022737759927819,-0.040588383254298,0.177768847492914,-0.04925340852393,-0.274845364369249,0.086803920059493,-0.217546684349093,0.018603800971087,0.099423847466495,0.210174426514654,-0.138355014766162,0.038826714250531,1.05505951239821,-0.015395452331871,-0.009717568834126,-0.950386878595147
