cell_line_cond,cell_line,chk1i,mk2i,pChk2,cCasp3,cPARP,pan_Akt,Axin2,PTK7,pH2A.X,pChk1,pSmad1/8,YAP,pMEK1/2,pAkt,pSmad2/3,PROM1,pNF-κB,p-p38,EphB2,pCDC25c,LGR5,Ki-67,IκBα,Vimentin,CD44,EpCAM,pAkt_T308,CD24,p4e-BP1,pERK1/2,p-p53,act Notch-1,total_ERK,pS6
SW620_D_res_DMSO,SW620,0,0,1.08161156714489E+016,1.10701190717564E+016,3714647079141350,1.37741991231084E+016,9.99833764533149E+015,1.10153685047327E+016,4745906408768800,6578711627125120,7952521241426070,1.25860439174808E+016,1.10794800295316E+016,1.14173663258863E+016,1.29507437274309E+016,9.63909965203145E+015,8313842210975520,9.11157638369799E+015,1.27803736166244E+016,1.15773453861183E+016,2788679591276310,6469959624946750,1.02716215831135E+016,1.12621152724075E+016,2937730513769190,1.35416552313603E+016,2578197671935280,1.14032897582399E+016,1.27731066055362E+016,3923396995224240,5937319036290090,1.07966293174593E+016,5178316827926590,5632495564050180
SW620_D_res_Chk1i,SW620,1,0,1.1905371888313E+016,1.17728010505948E+016,5026298444540980,1.24371826200244E+016,1.07582909068491E+016,1.01729400497448E+016,1.0631172107637E+016,8986271949839540,9.94556625837004E+015,1.37520380347906E+016,1.20760451824435E+016,1.20581721899971E+016,1.19748212441885E+016,1.12757208707201E+016,1.02866185981121E+016,1.13225564285076E+016,1.2124286036083E+016,1.19327294331147E+016,4720418965275600,7452230314561790,9.89024305118428E+015,1.17444121699653E+016,2764553337966200,1.20119898985426E+016,2514027116317670,1.13972203265779E+016,1.35016617588847E+016,8305055783836680,1.14875539938132E+016,1.10502386800317E+016,6322641763993130,3056937746575900
SW620_D_res_Mk2i,SW620,0,1,9.65766456385276E+015,1.00731852150808E+016,2500198808223380,1.35461950074556E+016,8952169593815620,1.0720964791996E+016,5350268742880620,5426656039017110,7036361369377480,1.32041290166852E+016,1.04613866918913E+016,1.08943898282484E+016,1.26885917640025E+016,9.45976525477945E+015,8259938452469160,9.3139132131815E+015,1.18251910218591E+016,1.14728954854403E+016,2207875553930960,7197683189256930,1.02302884513102E+016,1.14589116549006E+016,1951005717965020,1.35134093711501E+016,1487991766830900,1.22504368548697E+016,1.3353048541958E+016,3407911820808090,8260317449042900,1.06466472346882E+016,5082290610427450,4282657972905880
SW620_D_res_Chk1iMk2i,SW620,1,1,1.19502194684576E+016,1.17773631149435E+016,5337498648701230,1.24425577813456E+016,1.07386513499793E+016,1.09311618540698E+016,1.12950784199849E+016,9.52984195011106E+015,1.01329006174328E+016,1.38456232176043E+016,1.21416072285079E+016,1.17977332507297E+016,1.21047657700643E+016,1.0957404358279E+016,1.02325618649465E+016,1.18469771678063E+016,1.20050737878634E+016,1.19455955816747E+016,3996367930569790,7086248420337220,9.36808152141636E+015,1.15964105528848E+016,2752926459623230,1.21255534777704E+016,2351056218928970,1.17381498463602E+016,1.3378162705691E+016,8231733242856250,1.19739060936727E+016,1.08728082484993E+016,6016858115740000,2740245075332710
SW480_D_res_DMSO,SW480,0,0,1.04627073755997E+016,1.16292585031841E+016,3506273342966400,1.346380893944E+016,9.89955847492697E+015,1.1111493195674E+016,4889159355675730,6556502635332260,7380171929468150,1.29945036213302E+016,1.22805911036606E+016,1.14957496913501E+016,1.27574227376058E+016,5183069764882660,8465290341955020,9.29436427168038E+015,9.32578333476729E+015,1.20461820259492E+016,1986863327950640,6730427790489660,9.76258254459112E+015,1.26889081738564E+016,7438535341999490,1.34190081608838E+016,3064432011565240,3184945419988830,1.26691493651034E+016,8587544692642880,5894349550786210,1.07973582809498E+016,5486870901427780,8320457470674950
SW480_D_res_Chk1i,SW480,1,0,1.11921859948918E+016,1.21384159504459E+016,4717269190911310,1.29394106112341E+016,1.13748871293739E+016,1.08562579428355E+016,1.02030538510598E+016,8953490090128460,7960674976868960,1.348467707734E+016,1.32995242025967E+016,1.29433973943531E+016,1.24592803178741E+016,6898413716850190,1.00601316448715E+016,1.15825819802255E+016,1.17679352818511E+016,1.28197068443061E+016,2988294265238150,9.4858141811911E+015,9.57259608429955E+015,1.25809500583585E+016,8459157049915700,1.36317695863508E+016,4080733306261710,4368180924126530,1.29262413314616E+016,1.05899629600333E+016,1.07625669804063E+016,1.0851825469755E+016,6492231356869450,8592270194950050
SW480_D_res_Mk2i,SW480,0,1,1.05037122284826E+016,1.17142528447166E+016,3516926954098110,1.31041351206E+016,9.7970986144304E+015,1.15456458096213E+016,5642860965154220,6681748504588310,7588740653440810,1.30635871466985E+016,1.25759968934642E+016,1.14947601407445E+016,1.23438336053417E+016,5065615625721750,9.17738548022755E+015,9.71986179893441E+015,9.55146297851484E+015,1.20901102685679E+016,1969034303113150,7019133026298340,9.41615295409095E+015,1.26095261390163E+016,6798772391852410,1.3235255917656E+016,2985238415818310,2856257929378760,1.238263674398E+016,8467199176860450,7466993389251120,1.05639174537022E+016,5918327244810060,6002620967265110
SW480_D_res_Chk1iMk2i,SW480,1,1,1.14436402522729E+016,1.22747285199826E+016,4620226218649730,1.33318356583533E+016,1.0570089306479E+016,1.09170465175967E+016,1.07409066162819E+016,9.37467653415681E+015,7960026458347870,1.27866861683585E+016,1.31100223682756E+016,1.08538413865412E+016,1.26504055512405E+016,6403635632331050,1.06871832130432E+016,1.21584072689441E+016,1.05971112688159E+016,1.22776055923425E+016,2720571860562510,8403876104530130,8157877869850270,1.2685667237377E+016,7078486564287260,1.39190203909664E+016,3177398294340230,3917554473581890,1.26679488187166E+016,1.08042745801186E+016,1.1578389171885E+016,1.04696928826391E+016,6057512021986400,6618070822478960
HCT116_D_res_DMSO,HCT116,0,0,1.13529786534999E+016,1.21380140874308E+016,4352759154072710,1.21347813722512E+016,1.14789655059462E+016,1.3167011348075E+016,7297704251238390,8816748480290510,8391412246755660,1.28845528676499E+016,1.33932890939921E+016,9.70623374624186E+015,1.20115644560946E+016,1.10397944933655E+016,1.06324768634043E+016,1.18213679169992E+016,1.14974768858733E+016,1.30494586296848E+016,2849894551582630,1.1655453370813E+016,1.14505284301039E+016,4944915992886340,9.68855122461503E+015,1.32569684603304E+016,5961368456142860,6124611695386990,1.18334229198796E+016,1.02738201909958E+016,3186634241845520,1.18888657553727E+016,8392218029313760,9.0161507860172E+015
HCT116_D_res_Chk1i,HCT116,1,0,1.19235833950894E+016,1.2503459879882E+016,4982849097088190,1.25517552401992E+016,1.18577117386917E+016,1.30713319880104E+016,1.06550372909634E+016,9.76501332357258E+015,8951791361841230,1.31152594289712E+016,1.28900238745849E+016,9.72049395531611E+015,1.27665747347575E+016,1.11247718307892E+016,1.05634957454383E+016,1.20875586154977E+016,1.13176900852858E+016,1.26874450426225E+016,3223610386824250,1.12642535590848E+016,9.4643072438809E+015,5251574146486080,8332412510912910,1.34290263250302E+016,6386685425191710,7085122541600210,1.07513098114516E+016,1.05540698999913E+016,6621201106589670,1.17626704636821E+016,8335880470289020,4665800961685440
