cell_line,mk2i,replicate,time,chk1i_0uM,Chk1i_0.25uM,Chk1i_0.5uM,chk1i_1uM,Chk1i_2.5uM,chk1i_5uM
Caco2,0uM,1,24,1.000,0.905,0.897,0.782,0.714,0.764
Caco2,0.5uM,1,24,0.945,0.804,0.794,0.643,0.678,0.705
Caco2,1uM,1,24,0.928,0.723,0.792,0.679,0.594,0.693
Caco2,2.5uM,1,24,0.804,0.695,0.693,0.659,0.687,0.698
Caco2,5uM,1,24,1.031,0.812,0.851,0.677,0.733,0.625
Caco2,0uM,1,48,1.000,0.812,0.871,0.681,0.663,0.700
Caco2,0.5uM,1,48,0.886,0.604,0.810,0.557,0.616,0.572
Caco2,1uM,1,48,0.878,0.618,0.616,0.524,0.498,0.645
Caco2,2.5uM,1,48,0.762,0.618,0.572,0.515,0.552,0.587
Caco2,5uM,1,48,1.076,0.856,0.849,0.595,0.608,0.580
Caco2,0uM,1,72,1.000,0.820,0.856,0.567,0.517,0.606
Caco2,0.5uM,1,72,0.879,0.558,0.701,0.431,0.479,0.425
Caco2,1uM,1,72,0.858,0.558,0.515,0.419,0.387,0.502
Caco2,2.5uM,1,72,0.764,0.539,0.517,0.428,0.458,0.521
Caco2,5uM,1,72,1.069,0.824,0.832,0.577,0.575,0.554
Caco2,0uM,1,96,1.000,0.826,0.861,0.437,0.394,0.308
Caco2,0.5uM,1,96,0.829,0.478,0.518,0.336,0.261,0.257
Caco2,1uM,1,96,0.832,0.457,0.409,0.281,0.218,0.292
Caco2,2.5uM,1,96,0.693,0.440,0.395,0.328,0.323,0.350
Caco2,5uM,1,96,1.005,0.755,0.748,0.456,0.424,0.405
Caco2,0uM,2,24,1.000,0.787,0.798,0.700,0.858,0.759
Caco2,0.5uM,2,24,0.880,0.774,0.665,0.629,0.758,0.758
Caco2,1uM,2,24,0.836,0.574,0.712,0.701,0.653,0.739
Caco2,2.5uM,2,24,0.926,0.677,0.725,0.600,0.609,0.613
Caco2,5uM,2,24,0.841,0.690,0.728,0.699,0.594,0.686
Caco2,0uM,2,48,1.000,0.757,0.797,0.751,0.853,0.783
Caco2,0.5uM,2,48,0.918,0.733,0.617,0.570,0.700,0.722
Caco2,1uM,2,48,0.883,0.463,0.603,0.597,0.615,0.655
Caco2,2.5uM,2,48,0.951,0.579,0.641,0.496,0.559,0.549
Caco2,5uM,2,48,0.942,0.737,0.692,0.629,0.531,0.659
Caco2,0uM,2,72,1.000,0.685,0.712,0.576,0.740,0.599
