mk2,chek1,cell_line,value,bliss_syn,bliss_area_maxmk2,bliss_area_maxchek1,loewe_syn_linear,loewe_syn
0,0,Caco2,1,NA,0.0869633282267337,0.24244444444444646,NA,NA
0,0.25,Caco2,0.8043333333333333,NA,0.0869633282267337,0.24244444444444646,NA,NA
0,0.5,Caco2,0.8573333333333334,NA,0.0869633282267337,0.24244444444444646,NA,NA
0,1,Caco2,0.7026666666666667,NA,0.0869633282267337,0.24244444444444646,NA,NA
0,2.5,Caco2,0.728,NA,0.0869633282267337,0.24244444444444646,NA,NA
0,5,Caco2,0.696,NA,0.0869633282267337,0.24244444444444646,NA,NA
0.5,0,Caco2,0.8636666666666667,NA,0.0869633282267337,0.24244444444444646,NA,NA
0.5,0.25,Caco2,0.7743333333333333,0.07965744444444445,0.0869633282267337,0.24244444444444646,1.4711964549483012,NaN
0.5,0.5,Caco2,0.717,-0.023450222222222372,0.0869633282267337,0.24244444444444646,0.985865724381625,NaN
0.5,1,Caco2,0.6213333333333333,0.014463555555555452,0.0869633282267337,0.24244444444444646,1.1452464788732393,NaN
0.5,2.5,Caco2,0.6466666666666667,0.01791733333333334,0.0869633282267337,0.24244444444444646,1.1556603773584908,NaN
0.5,5,Caco2,0.6673333333333333,0.06622133333333335,0.0869633282267337,0.24244444444444646,1.3236472945891784,NaN
1,0,Caco2,0.8093333333333333,NA,0.0869633282267337,0.24244444444444646,NA,NA
1,0.25,Caco2,0.6233333333333333,-0.027640444444444467,0.0869633282267337,0.24244444444444646,1.025663716814159,NaN
1,0.5,Caco2,0.7383333333333333,0.044464888888888776,0.0869633282267337,0.24244444444444646,1.2738853503184708,NaN
1,1,Caco2,0.6466666666666667,0.0779751111111111,0.0869633282267337,0.24244444444444646,1.3811320754716983,NaN
1,2.5,Caco2,0.5973333333333334,0.008138666666666738,0.0869633282267337,0.24244444444444646,1.1490066225165565,NaN
1,5,Caco2,0.6476666666666666,0.0843706666666666,0.0869633282267337,0.24244444444444646,1.4039735099337747,NaN
2.5,0,Caco2,0.8166666666666667,NA,0.0869633282267337,0.24244444444444646,NA,NA
2.5,0.25,Caco2,0.666,0.009127777777777846,0.0869633282267337,0.24244444444444646,1.1347305389221558,NaN
2.5,0.5,Caco2,0.6893333333333334,-0.010822222222222289,0.0869633282267337,0.24244444444444646,1.0493562231759657,NaN
2.5,1,Caco2,0.609,0.035155555555555607,0.0869633282267337,0.24244444444444646,1.2293265132139812,NaN
