cell_line,replicate,time,mk2i,chk1i,value
Caco2,1,24,0,0,1
Caco2,1,24,0.5,0,0.945
Caco2,1,24,1,0,0.928
Caco2,1,24,2.5,0,0.804
Caco2,1,24,5,0,1.031
Caco2,1,48,0,0,1
Caco2,1,48,0.5,0,0.886
Caco2,1,48,1,0,0.878
Caco2,1,48,2.5,0,0.762
Caco2,1,48,5,0,1.076
Caco2,1,72,0,0,1
Caco2,1,72,0.5,0,0.879
Caco2,1,72,1,0,0.858
Caco2,1,72,2.5,0,0.764
Caco2,1,72,5,0,1.069
Caco2,1,96,0,0,1
Caco2,1,96,0.5,0,0.829
Caco2,1,96,1,0,0.832
Caco2,1,96,2.5,0,0.693
Caco2,1,96,5,0,1.005
Caco2,2,24,0,0,1
Caco2,2,24,0.5,0,0.88
Caco2,2,24,1,0,0.836
Caco2,2,24,2.5,0,0.926
Caco2,2,24,5,0,0.841
Caco2,2,48,0,0,1
Caco2,2,48,0.5,0,0.918
Caco2,2,48,1,0,0.883
Caco2,2,48,2.5,0,0.951
Caco2,2,48,5,0,0.942
Caco2,2,72,0,0,1
Caco2,2,72,0.5,0,0.832
Caco2,2,72,1,0,0.775
Caco2,2,72,2.5,0,0.862
Caco2,2,72,5,0,0.889
Caco2,2,96,0,0,1
Caco2,2,96,0.5,0,0.841
Caco2,2,96,1,0,0.789
Caco2,2,96,2.5,0,0.829
Caco2,2,96,5,0,0.885
Caco2,3,24,0,0,1
Caco2,3,24,0.5,0,0.766
Caco2,3,24,1,0,0.664
Caco2,3,24,2.5,0,0.72
Caco2,3,24,5,0,0.739
Caco2,3,48,0,0,1
Caco2,3,48,0.5,0,0.722
Caco2,3,48,1,0,0.642
Caco2,3,48,2.5,0,0.701
Caco2,3,48,5,0,0.731
Caco2,3,72,0,0,1
Caco2,3,72,0.5,0,0.725
Caco2,3,72,1,0,0.61
Caco2,3,72,2.5,0,0.677
Caco2,3,72,5,0,0.732
Caco2,3,96,0,0,1
Caco2,3,96,0.5,0,0.718
Caco2,3,96,1,0,0.619
Caco2,3,96,2.5,0,0.655
Caco2,3,96,5,0,0.709
Car1,1,24,0,0,1
Car1,1,24,0.5,0,0.954
Car1,1,24,1,0,0.922
Car1,1,24,2.5,0,0.907
Car1,1,24,5,0,0.925
Car1,1,48,0,0,1
Car1,1,48,0.5,0,0.917
Car1,1,48,1,0,0.866
Car1,1,48,2.5,0,0.883
Car1,1,48,5,0,0.869
Car1,1,72,0,0,1
Car1,1,72,0.5,0,0.956
