chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
0,0,0,DMSO,HCT116,wes,NA,pChk1_S296,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pChk1_S296,0.607
1,0,0,1µM Chk1i,HCT116,wes,NA,pChk1_S296,0.42
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pChk1_S296,0.939
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk1_S296,0.288
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk1_S296,0.174
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pChk1_S296,3.725
0,0,0,DMSO,SW620,wes,NA,pChk1_S296,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pChk1_S296,0.184
1,0,0,1µM Chk1i,SW620,wes,NA,pChk1_S296,0.118
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pChk1_S296,0.951
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk1_S296,0.193
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk1_S296,0.076
0,0,42,42µM etoposide (2h),SW620,wes,NA,pChk1_S296,11.01
0,0,0,DMSO,SW948,wes,NA,pChk1_S296,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pChk1_S296,0.236
1,0,0,1µM Chk1i,SW948,wes,NA,pChk1_S296,0.22
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pChk1_S296,2.605
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk1_S296,0.174
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk1_S296,0.047
0,0,42,42µM etoposide (2h),SW948,wes,NA,pChk1_S296,6.202
0,0,0,DMSO,HCT116,wes,NA,pHSP27_S82,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pHSP27_S82,1.447
1,0,0,1µM Chk1i,HCT116,wes,NA,pHSP27_S82,1.911
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pHSP27_S82,0.955
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pHSP27_S82,0.659
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pHSP27_S82,0.504
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pHSP27_S82,2.329
0,0,0,DMSO,SW620,wes,NA,pHSP27_S82,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pHSP27_S82,0.738
1,0,0,1µM Chk1i,SW620,wes,NA,pHSP27_S82,0.536
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pHSP27_S82,0.293
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pHSP27_S82,0.196
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pHSP27_S82,0.485
0,0,42,42µM etoposide (2h),SW620,wes,NA,pHSP27_S82,2.419
0,0,0,DMSO,SW948,wes,NA,pHSP27_S82,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pHSP27_S82,1.041
1,0,0,1µM Chk1i,SW948,wes,NA,pHSP27_S82,0.871
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pHSP27_S82,0.406
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pHSP27_S82,0.332
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pHSP27_S82,0.768
0,0,42,42µM etoposide (2h),SW948,wes,NA,pHSP27_S82,1.281
0,0,0,DMSO,HCT116,wes,NA,pCDC25B_S323,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDC25B_S323,1.173
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDC25B_S323,0.849
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDC25B_S323,1.219
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25B_S323,0.84
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25B_S323,0.693
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pCDC25B_S323,0.865
0,0,0,DMSO,SW620,wes,NA,pCDC25B_S323,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDC25B_S323,0.983
1,0,0,1µM Chk1i,SW620,wes,NA,pCDC25B_S323,1.078
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDC25B_S323,1.281
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC25B_S323,1.246
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC25B_S323,0.892
0,0,42,42µM etoposide (2h),SW620,wes,NA,pCDC25B_S323,1.199
0,0,0,DMSO,SW948,wes,NA,pCDC25B_S323,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDC25B_S323,0.819
1,0,0,1µM Chk1i,SW948,wes,NA,pCDC25B_S323,1.125
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDC25B_S323,1.048
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25B_S323,0.836
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25B_S323,0.934
0,0,42,42µM etoposide (2h),SW948,wes,NA,pCDC25B_S323,0.947
0,0,0,DMSO,HCT116,wes,NA,pCDC2_Tyr15,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDC2_Tyr15,0.705
