chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,0,0,DMSO,HCT116,wes,NA,pChk1_S296,1,0.571,0.233,1,0.373,pChk1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pChk1_S296,0.607,0.408,0.122,0.524,0.219,pChk1
1,0,0,1µM Chk1i,HCT116,wes,NA,pChk1_S296,0.42,0.288,0.069,0.298,0.146,pChk1
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pChk1_S296,0.939,0.55,0.215,0.926,0.349,pChk1
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk1_S296,0.288,0.164,0.032,0.138,0.094,pChk1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk1_S296,0.174,0,0,0,0.05,pChk1
0,0,0,DMSO,SW620,wes,NA,pChk1_S296,1,0.518,0.085,1,0.373,pChk1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pChk1_S296,0.184,0.178,0.01,0.117,0.054,pChk1
1,0,0,1µM Chk1i,SW620,wes,NA,pChk1_S296,0.118,0.088,0.004,0.045,0.028,pChk1
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pChk1_S296,0.951,0.508,0.08,0.947,0.353,pChk1
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk1_S296,0.193,0.187,0.011,0.127,0.057,pChk1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk1_S296,0.076,0,0,0,0.011,pChk1
0,0,0,DMSO,SW948,wes,NA,pChk1_S296,1,0.626,0.155,0.373,0.373,pChk1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pChk1_S296,0.236,0.331,0.031,0.074,0.074,pChk1
1,0,0,1µM Chk1i,SW948,wes,NA,pChk1_S296,0.22,0.316,0.028,0.068,0.068,pChk1
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pChk1_S296,2.605,0.822,0.416,1,1,pChk1
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk1_S296,0.174,0.268,0.021,0.05,0.05,pChk1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk1_S296,0.047,0,0,0,0,pChk1
0,0,0,DMSO,HCT116,wes,NA,pHSP27_S82,1,0.448,0.272,0.353,0.469,pHSP27
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pHSP27_S82,1.447,0.689,0.517,0.67,0.729,pHSP27
1,0,0,1µM Chk1i,HCT116,wes,NA,pHSP27_S82,1.911,0.871,0.771,1,1,pHSP27
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pHSP27_S82,0.955,0.418,0.247,0.321,0.443,pHSP27
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pHSP27_S82,0.659,0.175,0.085,0.11,0.27,pHSP27
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pHSP27_S82,0.504,0,0,0,0.18,pHSP27
0,0,0,DMSO,SW620,wes,NA,pHSP27_S82,1,0.648,0.362,1,0.469,pHSP27
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pHSP27_S82,0.738,0.528,0.244,0.674,0.316,pHSP27
1,0,0,1µM Chk1i,SW620,wes,NA,pHSP27_S82,0.536,0.4,0.153,0.423,0.198,pHSP27
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pHSP27_S82,0.293,0.16,0.044,0.121,0.057,pHSP27
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pHSP27_S82,0.196,0,0,0,0,pHSP27
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pHSP27_S82,0.485,0.361,0.13,0.359,0.169,pHSP27
0,0,0,DMSO,SW948,wes,NA,pHSP27_S82,1,0.817,0.704,0.942,0.469,pHSP27
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pHSP27_S82,1.041,0.846,0.747,1,0.493,pHSP27
1,0,0,1µM Chk1i,SW948,wes,NA,pHSP27_S82,0.871,0.714,0.568,0.76,0.394,pHSP27
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pHSP27_S82,0.406,0.149,0.078,0.104,0.122,pHSP27
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pHSP27_S82,0.332,0,0,0,0.079,pHSP27
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pHSP27_S82,0.768,0.621,0.459,0.615,0.334,pHSP27
0,0,0,DMSO,HCT116,wes,NA,pCDC25B_S323,1,0.649,0.584,0.584,0.522,pCDC25B
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDC25B_S323,1.173,0.932,0.913,0.913,0.816,pCDC25B
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDC25B_S323,0.849,0.359,0.297,0.297,0.265,pCDC25B
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDC25B_S323,1.219,1,1,1,0.895,pCDC25B
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25B_S323,0.84,0.341,0.279,0.279,0.25,pCDC25B
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25B_S323,0.693,0,0,0,0,pCDC25B
