source_hgnc	interaction_directed_signed	target_hgnc	source_uniprot	target_uniprot	source_hgnc_status	target_hgnc_status
CDK1	1	INCENP	P06493	Q9NQS7	1	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
LRRK2	1	LRRK2	Q5S007	Q5S007	1	1
LCK	1	TCR	P06239	SIGNOR-C153	1	0
IGF1	1	Calcineurin	P05019	SIGNOR-C155	1	0
cyclosporin A	-1	Calcineurin	CID:5284373	SIGNOR-C155	0	0
tacrolimus	-1	Calcineurin	CID:445643	SIGNOR-C155	0	0
Calcineurin	1	MEF2C	SIGNOR-C155	Q06413	0	1
calcium ion	1	Calcineurin	CID:271	SIGNOR-C155	0	0
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC3	SIGNOR-C155	Q12968	0	1
calcium ion	1	Calcineurin	CID:271	SIGNOR-C155	0	0
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	DNM1L	SIGNOR-C155	O00429	0	1
Calcineurin	unknown	DNM2	SIGNOR-C155	P50570	0	1
CDK12	1	POLR2A	Q9NYV4	P24928	1	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC4	SIGNOR-C155	Q14934	0	1
Calcineurin	1	NFATC1	SIGNOR-C155	O95644	0	1
CALM1	1	Calcineurin	P62158	SIGNOR-C155	1	0
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	BAD	SIGNOR-C155	Q92934	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	IL6	SIGNOR-C155	P05231	0	1
RCAN1	-1	Calcineurin	P53805	SIGNOR-C155	1	0
NFATC1	1	T cell activation	O95644	SIGNOR-PH73	1	0
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
Calcineurin	1	NFATC2	SIGNOR-C155	Q13469	0	1
DUSP26	-1	TP53	Q9BV47	P04637	1	1
Calcineurin	-1	FLNA	SIGNOR-C155	P21333	0	1
GNG2	1	PLCG1	P59768	P19174	1	1
ARP2/3	1	F-actin Assembly	SIGNOR-C146	SIGNOR-PH18	0	0
UBE2C	-1	Mitotic Checkpoint	O00762	SIGNOR-PH28	1	0
NAE1	1	Apoptosis	Q13564	SIGNOR-PH2	1	0
AKT	-1	SMAD3	SIGNOR-PF24	P84022	0	1
PtsIns(3,4,5)P3	1	AKT2	CID:24755492	P31751	0	1
BCL2	-1	DIABLO	P10415	Q9NR28	1	1
BAK1	1	AIFM1	Q16611	O95831	1	1
PTEN	-1	AKT	P60484	SIGNOR-PF24	1	0
PIK3CA	1	AKT	P42336	SIGNOR-PF24	1	0
INPPL1	-1	AKT	O15357	SIGNOR-PF24	1	0
PIK3CA	1	AKT	P42336	SIGNOR-PF24	1	0
MAPK14	1	AKT	Q16539	SIGNOR-PF24	1	0
INPPL1	-1	AKT1	O15357	P31749	1	1
PTEN	-1	AKT1	P60484	P31749	1	1
PIK3CA	1	AKT2	P42336	P31751	1	1
estradiol	1	AKT2	CID:5757	P31751	0	1
MAPK14	-1	MAPK10	Q16539	P53779	1	1
AT-406	-1	BIRC3	CID:25022340	Q13489	0	1
SMAD3/SMAD4	1	M2 polarization	SIGNOR-C9	SIGNOR-PH55	0	0
PtsIns(3,4,5)P3	1	AKT3	CID:24755492	Q9Y243	0	1
MACF1	-1	AXIN1	Q9UPN3	O15169	1	1
MAPK8	1	BAX	P45983	Q07812	1	1
AIFM1	1	BAX	O95831	Q07812	1	1
UNII-XH2662798I	-1	CDK1	CID:16156006	P06493	0	1
NAMPT	1	coenzyme I	P43490	CID:15938971	1	0
Lenalidomide	-1	CSNK1A1	CID:216326	P48729	0	1
APC2	-1	CTNNB1	O95996	P35222	1	1
RARA	-1	CTNNB1	P10276	P35222	1	1
AKT2	1	CTNNB1	P31751	P35222	1	1
LRRK2	1	LRRK2	Q5S007	Q5S007	1	1
BCL2	-1	CYCS	P10415	P99999	1	1
BID	1	CYCS	P55957	P99999	1	1
CASP8	1	CYCS	Q14790	P99999	1	1
BAX	1	CYCS	Q07812	P99999	1	1
BAK1	1	CYCS	Q16611	P99999	1	1
BAK1	1	DIABLO	Q16611	Q9NR28	1	1
BAX	1	DIABLO	Q07812	Q9NR28	1	1
BAK1	1	ENDOG	Q16611	Q14249	1	1
LRIG3	1	ERBB2	Q6UXM1	P04626	1	1
LRIG1	-1	ERBB2	Q96JA1	P04626	1	1
LRIG1	-1	ERBB4	Q96JA1	Q15303	1	1
LRIG3	1	ERBB4	Q6UXM1	Q15303	1	1
anisomycin	1	FOS	CID:253602	P01100	0	1
anisomycin	1	FOSB	CID:253602	P53539	0	1
ZIC1	1	GLI1	Q15915	P08151	1	1
ZIC1	1	GLI3	Q15915	P10071	1	1
MACF1	-1	GSK3B	Q9UPN3	P49841	1	1
RALA	1	FOXO4	P11233	P98177	1	1
RALA	1	FOXO4	P11233	P98177	1	1
MACF1	-1	GSK3B/Axin/APC	Q9UPN3	SIGNOR-C110	1	0
MACF1	-1	GSK3B/Axin/APC	Q9UPN3	SIGNOR-C110	1	0
UNII-XH2662798I	-1	H3F3A	CID:16156006	P84243	0	1
PPARG	-1	HDAC1	P37231	Q13547	1	1
BCL2	-1	HTRA2	P10415	O43464	1	1
BAK1	1	HTRA2	Q16611	O43464	1	1
GPER1	1	inositol 1,4,5-trisphosphate	Q99527	CID:439456	1	0
INS	-1	IRS1	P01308	P35568	1	1
INS	-1	IRS1	P01308	P35568	1	1
rapamycin	1	IRS1	CID:5284616	P35568	0	1
PIK3CA	-1	IRS1	P42336	P35568	1	1
anisomycin	1	JUN	CID:253602	P05412	0	1
anisomycin	1	JUNB	CID:253602	P17275	0	1
anisomycin	1	JUND	CID:253602	P17535	0	1
GRB2	-1	KIT	P62993	P10721	1	1
Sphingosine 1-phosphate	-1	LATS1	CID:5283560	O95835	0	1
lysophosphatidic acid	-1	LATS1	CID:5497152	O95835	0	1
epinephrine	1	LATS1	CID:5816	O95835	0	1
Sphingosine 1-phosphate	-1	LATS2	CID:5283560	Q9NRM7	0	1
lysophosphatidic acid	-1	LATS2	CID:5497152	Q9NRM7	0	1
epinephrine	1	LATS2	CID:5816	Q9NRM7	0	1
LRIG1	-1	LRIG3	Q96JA1	Q6UXM1	1	1
MACF1	1	LRP6	Q9UPN3	O75581	1	1
PEA15	-1	MAPK1	Q15121	P28482	1	1
CDON	1	MAPK14	Q4KMG0	Q16539	1	1
PEA15	-1	MAPK3	Q15121	P27361	1	1
U-0126	-1	MAPK7	CID:3006531	Q13164	0	1
BMP4	1	MKL1	P12644	Q969V6	1	1
