target	interaction	source
ABL1	1	ATM
ABL1	-1	RB1
AKT	-1	ATM
AKT1	-1	ATM
ATM	1	E2F1
ATR	1	ABL1
CDC25B	1	CDK1
CDC25B	1	CyclinB/CDK1
CDK1	-1	CDKN1A
CDK2	-1	CDKN1A
CDKN1A	1	MYOD1
CDKN1A	-1	MYOD1
CDKN1A	-1	MYOG
CHEK1	1	CDK1
CHEK1	1	CDK2
CyclinB/CDK1	-1	CDKN1A
E2F1	-1	RB1
MTOR	-1	ABL1
MTOR	1	AKT
MTOR	-1	AKT
MTOR	1	AKT1
MTOR	-1	AKT1
MTOR	unknown	AKT1
MTOR	1	PI3K
MTOR	1	PIK3CA
MTOR	-1	TSC2
mTORC1	1	AKT
mTORC1	-1	AKT
mTORC1	-1	AKT1
MYOD1	-1	MDFI
MYOG	-1	MDFI
PI3K	1	KRAS
PIK3CA	1	KRAS
RB1	1	MYOD1
TFEB	-1	MTOR
TFEB	-1	mTORC1
TSC2	unknown	MAPKAPK2
