conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38
"wt, no DNAdam",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.803,,0.0325,0.0325,0.0325,0.803,,,0.803,0.803,,0.0325,0.0325,0.803,,0.803
"kras$\Delta$, no DNAdam, 0/0",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7995,1.0,,0.0065,0.0065,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8595,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.0035,0.0035,0.0035,,0.0005,0.0005,0.8515,1.0,0.0005,0.0045000000000000005,0.004,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.87,1.0,,0.001,0.001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.002,0.002,0.002,,,,0.874,1.0,,0.002,0.002,1.0,,1.0
"wt, no DNAdam",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7945,,0.036,0.036,0.036,0.7945,,,0.7945,0.7945,,0.037,0.037,0.7945,,0.7945
"kras$\Delta$, no DNAdam, 0/0",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7955,1.0,,0.01,0.01,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8555,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.002,0.002,0.002,,,,0.869,1.0,,0.002,0.002,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8575,1.0,,,,1.0,,1.0
