conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"wt, no DNAdam",0,model1100.bnet,,0.812,,0.051,0.05,0.051,,,,0.812,0.812,,0.051,0.051,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",0,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.816,1.0,,0.049,0.049,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",0,model1100.bnet,0.822,1.0,0.876,0.002,0.002,0.002,0.822,0.822,0.822,0.869,1.0,0.822,0.002,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/0",0,model1100.bnet,0.822,1.0,0.876,0.002,0.002,0.002,,0.822,0.822,0.859,1.0,0.822,0.002,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",0,model1100.bnet,0.82,1.0,0.883,0.002,0.002,0.002,,0.82,0.82,0.859,1.0,0.82,0.002,0.002,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",0,model1100.bnet,0.828,1.0,0.89,0.002,0.002,0.002,,0.828,0.828,0.863,1.0,,0.003,0.002,1.0,0.828,1.0,
"wt, no DNAdam",1,model1100.bnet,,0.831,,0.04,0.04,0.04,,,,0.831,0.831,,0.04,0.04,0.831,,0.831,
"kras$\Delta$, no DNAdam, 0/0",1,model1100.bnet,,1.0,,0.057,0.057,0.057,,,,0.803,1.0,,0.057,0.057,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",1,model1100.bnet,0.834,1.0,0.882,0.002,0.002,0.002,0.834,0.834,0.834,0.865,1.0,0.834,0.002,0.002,1.0,0.834,1.0,
"kras$\Delta$, DNAdam, chek1i/0",1,model1100.bnet,0.816,1.0,0.87,0.001,0.001,0.001,,0.816,0.816,0.858,1.0,0.816,0.001,0.001,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",1,model1100.bnet,0.816,1.0,0.871,0.003,0.003,0.003,,0.816,0.816,0.861,1.0,0.816,0.003,0.003,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",1,model1100.bnet,0.82,1.0,0.876,0.002,0.002,0.002,,0.82,0.82,0.864,1.0,,0.004,0.002,1.0,0.82,1.0,
"wt, no DNAdam",2,model1100.bnet,,0.806,,0.054,0.054,0.054,,,,0.806,0.806,,0.054,0.054,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",2,model1100.bnet,,1.0,,0.055,0.055,0.055,,,,0.788,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",2,model1100.bnet,0.826,1.0,0.878,0.001,0.001,0.001,0.826,0.826,0.826,0.858,1.0,0.826,0.002,0.002,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/0",2,model1100.bnet,0.821,1.0,0.868,0.001,0.001,0.001,,0.821,0.821,0.858,1.0,0.821,0.001,0.001,1.0,0.821,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",2,model1100.bnet,0.814,1.0,0.881,0.003,0.003,0.003,,0.814,0.814,0.865,1.0,0.814,0.003,0.003,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",2,model1100.bnet,0.83,1.0,0.888,0.002,0.002,0.002,,0.83,0.83,0.867,1.0,,0.002,0.002,1.0,0.83,1.0,
"wt, no DNAdam",3,model1100.bnet,,0.813,,0.047,0.047,0.047,,,,0.813,0.813,,0.047,0.047,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",3,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.799,1.0,,0.049,0.049,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",3,model1100.bnet,0.824,1.0,0.88,0.001,0.001,0.001,0.824,0.824,0.824,0.864,1.0,0.824,0.002,0.001,1.0,0.824,1.0,
"kras$\Delta$, DNAdam, chek1i/0",3,model1100.bnet,0.825,1.0,0.879,0.001,0.001,0.001,,0.825,0.825,0.857,1.0,0.825,0.002,0.001,1.0,0.825,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",3,model1100.bnet,0.828,1.0,0.88,,,,,0.828,0.828,0.862,1.0,0.828,0.002,,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",3,model1100.bnet,0.812,1.0,0.863,0.003,0.003,0.003,,0.812,0.812,0.87,1.0,,0.004,0.003,1.0,0.812,1.0,
"wt, no DNAdam",4,model1100.bnet,,0.808,,0.041,0.041,0.041,,,,0.808,0.808,,0.041,0.041,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",4,model1100.bnet,,1.0,,0.046,0.046,0.046,,,,0.806,1.0,,0.046,0.046,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",4,model1100.bnet,0.819,1.0,0.878,0.002,0.002,0.002,0.819,0.819,0.819,0.858,1.0,0.819,0.002,0.002,1.0,0.819,1.0,
"kras$\Delta$, DNAdam, chek1i/0",4,model1100.bnet,0.832,1.0,0.884,0.002,0.002,0.002,,0.832,0.832,0.86,1.0,0.832,0.003,0.002,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",4,model1100.bnet,0.812,1.0,0.872,0.004,0.004,0.004,,0.812,0.812,0.865,1.0,0.812,0.005,0.004,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",4,model1100.bnet,0.834,1.0,0.89,0.0,0.0,0.0,,0.834,0.834,0.883,1.0,,0.0,0.0,1.0,0.834,1.0,
"wt, no DNAdam",5,model1100.bnet,,0.804,,0.055,0.055,0.055,,,,0.804,0.804,,0.055,0.055,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",5,model1100.bnet,,1.0,,0.045,0.045,0.045,,,,0.812,1.0,,0.045,0.045,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",5,model1100.bnet,0.815,1.0,0.872,0.002,0.002,0.002,0.815,0.815,0.815,0.863,1.0,0.815,0.003,0.002,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, chek1i/0",5,model1100.bnet,0.808,1.0,0.872,0.002,0.002,0.002,,0.808,0.808,0.862,1.0,0.808,0.004,0.002,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",5,model1100.bnet,0.826,1.0,0.89,0.0,0.0,0.0,,0.826,0.826,0.88,1.0,0.826,0.002,0.0,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",5,model1100.bnet,0.814,1.0,0.873,0.002,0.002,0.002,,0.814,0.814,0.862,1.0,,0.002,0.002,1.0,0.814,1.0,
"wt, no DNAdam",6,model1100.bnet,,0.798,,0.048,0.048,0.048,,,,0.798,0.798,,0.048,0.048,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",6,model1100.bnet,,1.0,,0.051,0.051,0.051,,,,0.814,1.0,,0.051,0.051,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",6,model1100.bnet,0.812,1.0,0.87,0.001,0.001,0.001,0.812,0.812,0.812,0.849,1.0,0.812,0.002,0.001,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/0",6,model1100.bnet,0.828,1.0,0.88,0.002,0.002,0.002,,0.828,0.828,0.859,1.0,0.828,0.002,0.002,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",6,model1100.bnet,0.813,1.0,0.884,0.003,0.003,0.003,,0.813,0.813,0.854,1.0,0.813,0.006,0.004,1.0,0.813,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",6,model1100.bnet,0.812,1.0,0.864,0.002,0.002,0.002,,0.812,0.812,0.855,1.0,,0.003,0.002,1.0,0.812,1.0,
"wt, no DNAdam",7,model1100.bnet,,0.792,,0.054,0.054,0.054,,,,0.792,0.792,,0.054,0.054,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",7,model1100.bnet,,1.0,,0.05,0.05,0.05,,,,0.814,1.0,,0.05,0.05,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",7,model1100.bnet,0.816,1.0,0.875,,,,0.816,0.816,0.816,0.86,1.0,0.816,0.002,,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",7,model1100.bnet,0.814,1.0,0.867,0.002,0.002,0.002,,0.814,0.814,0.869,1.0,0.814,0.005,0.002,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",7,model1100.bnet,0.828,1.0,0.883,0.002,0.002,0.002,,0.828,0.828,0.874,1.0,0.828,0.004,0.002,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",7,model1100.bnet,0.829,1.0,0.891,0.0,0.0,0.0,,0.829,0.829,0.856,1.0,,0.002,0.0,1.0,0.829,1.0,
"wt, no DNAdam",8,model1100.bnet,,0.804,,0.054,0.054,0.054,,,,0.804,0.804,,0.054,0.054,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",8,model1100.bnet,,1.0,,0.052,0.052,0.052,,,,0.8,1.0,,0.052,0.052,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",8,model1100.bnet,0.817,1.0,0.872,0.004,0.004,0.004,0.817,0.817,0.817,0.864,1.0,0.817,0.006,0.004,1.0,0.817,1.0,
"kras$\Delta$, DNAdam, chek1i/0",8,model1100.bnet,0.826,1.0,0.876,0.001,0.001,0.001,,0.826,0.826,0.86,1.0,0.826,0.002,0.001,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",8,model1100.bnet,0.82,1.0,0.882,0.0,0.0,0.0,,0.82,0.82,0.855,1.0,0.82,0.002,0.001,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",8,model1100.bnet,0.804,1.0,0.87,0.001,0.001,0.001,,0.804,0.804,0.854,1.0,,0.003,0.001,1.0,0.804,1.0,
"wt, no DNAdam",9,model1100.bnet,,0.808,,0.05,0.05,0.05,,,,0.808,0.808,,0.05,0.05,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",9,model1100.bnet,,1.0,,0.054,0.054,0.054,,,,0.812,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",9,model1100.bnet,0.82,1.0,0.872,0.001,0.001,0.001,0.82,0.82,0.82,0.864,1.0,0.82,0.002,0.001,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/0",9,model1100.bnet,0.83,1.0,0.88,0.002,0.002,0.002,,0.83,0.83,0.87,1.0,0.83,0.003,0.002,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",9,model1100.bnet,0.816,1.0,0.876,0.002,0.002,0.002,,0.816,0.816,0.864,1.0,0.816,0.004,0.003,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",9,model1100.bnet,0.803,1.0,0.865,0.004,0.004,0.004,,0.803,0.803,0.864,1.0,,0.004,0.004,1.0,0.803,1.0,
"wt, no DNAdam",10,model1100.bnet,,0.804,,0.05,0.05,0.05,,,,0.804,0.804,,0.05,0.05,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",10,model1100.bnet,,1.0,,0.055,0.055,0.055,,,,0.795,1.0,,0.055,0.055,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",10,model1100.bnet,0.816,1.0,0.874,0.0,0.0,0.0,0.816,0.816,0.816,0.866,1.0,0.816,0.0,0.0,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",10,model1100.bnet,0.83,1.0,0.887,0.004,0.004,0.004,,0.83,0.83,0.866,1.0,0.83,0.004,0.004,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",10,model1100.bnet,0.803,1.0,0.869,0.003,0.003,0.003,,0.803,0.803,0.86,1.0,0.803,0.004,0.003,1.0,0.803,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",10,model1100.bnet,0.806,1.0,0.867,0.002,0.002,0.002,,0.806,0.806,0.86,1.0,,0.004,0.002,1.0,0.806,1.0,
"wt, no DNAdam",11,model1100.bnet,,0.798,,0.046,0.046,0.046,,,,0.798,0.798,,0.046,0.046,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",11,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.796,1.0,,0.049,0.049,1.0,,1.0,
