"group_id"	"type"	"items_in_group"	"lo_value"	"p"	"FDR"	"goodsgrna"	"rank"	"log2FoldChange"
"POLA1"	"p"	6	1.6577e-06	2.1808e-05	0.022277	4	1	-0.744
"CLSPN"	"x"	6	2.2982e-06	2.8039e-05	0.022277	5	2	-0.6825
"ABCG2"	"x"	6	1.3316e-05	4.6732e-05	0.024752	4	3	-0.56
"PPP2R2A"	"x"	6	1.5887e-05	7.1656e-05	0.028465	5	4	-0.717
"PKMYT1"	"x"	6	2.2859e-05	0.00014643	0.046535	6	5	-0.821
"POLE2"	"x"	6	2.7277e-05	0.00018381	0.04868	4	6	-0.5425
"APEX2"	"x"	6	6.7145e-05	0.00033959	0.077086	2	7	0.029
"MAP2K1"	"x"	6	0.00010122	0.00050159	0.099629	4	8	-0.747
"RFC4"	"x"	6	0.00014799	0.00072591	0.128163	5	9	-0.6655
"MAPK1"	"x"	6	0.00019302	0.00091907	0.14604	4	10	-0.4495
"CHEK1"	"x"	6	0.0002747	0.001268	0.183168	4	11	-0.5075
"EXO1"	"x"	6	0.0004498	0.0020531	0.264542	2	12	-0.14
"PRIM2"	"x"	6	0.00047291	0.0021715	0.264542	5	13	-0.636
"BRCA1"	"x"	6	0.00055409	0.0025204	0.264542	4	14	-0.507
"JUN"	"x"	6	0.00057988	0.0026637	0.264542	3	15	-0.348
"WEE1"	"x"	5	0.00063818	0.0024519	0.264542	3	16	-0.846
"SPTSSA"	"x"	6	0.00077451	0.0033865	0.306656	3	17	-0.3555
"ZFP36L1"	"x"	6	0.00080651	0.0034738	0.306656	3	18	-0.5485
"BARD1"	"x"	6	0.00089834	0.003723	0.31136	3	19	-0.3575
"PAGR1"	"x"	6	0.0010712	0.0042651	0.338861	2	20	-0.3335
"TGFBR1"	"x"	6	0.0013249	0.0051374	0.382763	3	21	-0.1545
"BRCA2"	"x"	4	0.0015154	0.0052994	0.382763	2	22	-0.352
"CSNK2A1"	"x"	5	0.0015355	0.0057231	0.395394	3	23	-0.262
"RFC3"	"x"	6	0.001598	0.0060845	0.397822	3	24	-0.248
"RNASEH2A"	"x"	6	0.001641	0.006259	0.397822	4	25	-0.3925
"ORC3"	"x"	6	0.0021465	0.0079164	0.483816	4	26	-0.4015
"ATM"	"x"	6	0.0025068	0.0091689	0.533062	3	27	-0.1237
"JDP2"	"x"	6	0.0025975	0.0093932	0.533062	2	28	0.1425
"AGO2"	"x"	6	0.0032691	0.011549	0.588209	2	29	-0.4885
"UBE2T"	"x"	6	0.0033865	0.01196	0.588209	2	30	-0.1035
"ARAF"	"x"	6	0.0034186	0.012085	0.588209	3	31	-0.16755
"PPIH"	"x"	6	0.0034597	0.012178	0.588209	3	32	-0.2195
"TRAF2"	"x"	6	0.0034809	0.012216	0.588209	4	33	-0.409
"CDT1"	"x"	6	0.0037128	0.012951	0.597772	3	34	-0.5475
"YWHAE"	"x"	6	0.0038742	0.013418	0.597772	2	35	-0.211
"CARHSP1"	"x"	6	0.0039303	0.013543	0.597772	2	36	0.00435
"ALKBH2"	"x"	6	0.0041369	0.01416	0.608108	3	37	-0.17
"PXN"	"x"	6	0.0044198	0.015082	0.630667	4	38	-0.3785
"APC2"	"x"	6	0.0046336	0.015824	0.644707	3	39	-0.2265
"HSD17B12"	"x"	6	0.0053916	0.018515	0.722183	4	40	-0.4215
"CDK5"	"x"	6	0.0055232	0.018951	0.722183	3	41	-0.6445
"SMARCE1"	"x"	6	0.0055604	0.019089	0.722183	3	42	-0.30795
"TIPIN"	"x"	6	0.0062346	0.02122	0.763806	4	43	-0.384
"LCMT1"	"x"	6	0.0065736	0.022297	0.770232	4	44	-0.5135
"MKNK1"	"x"	6	0.0068909	0.023369	0.790078	3	45	-0.1526
"GYS1"	"x"	6	0.0072243	0.024572	0.800718	3	46	-0.2782
"YWHAH"	"x"	6	0.0074988	0.025369	0.800718	4	47	-0.4675
"HLA-F"	"x"	6	0.007541	0.025525	0.800718	4	48	-0.3365
"PPP1R12A"	"x"	6	0.0076139	0.0257	0.800718	2	49	-0.1938
"RBSN"	"x"	6	0.0081424	0.027301	0.834254	3	50	-0.382
"KIR3DL1"	"x"	3	0.0089652	0.020391	0.753511	2	51	-0.613
"JUNB"	"x"	6	0.0090587	0.029912	0.874104	3	52	-0.3565
"FBXW11"	"x"	6	0.0091294	0.03013	0.874104	3	53	-0.514
"MAD2L2"	"x"	6	0.0093211	0.030728	0.874104	4	54	-0.4405
"RPS24"	"p"	6	0.0094692	0.031183	0.874104	4	55	-0.338
"KRT18"	"x"	6	0.009547	0.03142	0.874104	2	56	-0.15905
"PRKAG1"	"x"	6	0.009669	0.031906	0.874104	3	57	-0.265
"CHMP7"	"x"	6	0.011017	0.034734	0.907441	3	58	-0.125005
