"group_id"	"type"	"items_in_group"	"lo_value"	"p"	"FDR"	"goodsgrna"	"rank"	"log2FoldChange"
"FLT3"	"x"	6	0.00015327	0.00072591	0.476485	4	1	-0.4285
"CIITA"	"x"	6	0.00024115	0.0011122	0.476485	3	2	-0.1405
"KCTD10"	"x"	6	0.0002582	0.0011995	0.476485	5	3	-0.2665
"HOXB6"	"x"	5	0.00030307	0.0011434	0.476485	2	4	-0.141
"SPTSSA"	"x"	6	0.0010119	0.003642	0.711139	3	5	-0.346
"MAFB"	"x"	6	0.0010907	0.003885	0.711139	2	6	-0.081
"PIK3CA"	"x"	6	0.0011235	0.0039785	0.711139	3	7	-0.2457
"RUNX2"	"x"	6	0.0014604	0.0052184	0.711139	4	8	-0.328
"GFAP"	"x"	6	0.0014633	0.0052309	0.711139	3	9	-0.1505
"ERBB2"	"x"	6	0.0017909	0.0063961	0.711139	4	10	-0.34
"DOK1"	"x"	6	0.0018172	0.006502	0.711139	1	11	0.01435
"ST3GAL4"	"x"	6	0.0020699	0.007337	0.711139	4	12	-0.1665
"SNCA"	"x"	6	0.0022516	0.0079725	0.711139	4	13	-0.3255
"STAT3"	"x"	6	0.0022944	0.0081532	0.711139	3	14	-0.357
"FOXM1"	"x"	6	0.0024236	0.008633	0.711139	3	15	-0.10705
"PIAS3"	"x"	6	0.0024731	0.0087763	0.711139	4	16	-0.271
"CCND1"	"x"	6	0.0025434	0.0089508	0.711139	1	17	0.0568
"CTPS2"	"x"	6	0.0032691	0.011269	0.748549	1	18	-0.0216
"H3F3A"	"x"	6	0.0033131	0.011462	0.748549	4	19	-0.289
"PIK3CD"	"x"	6	0.0033173	0.011468	0.748549	3	20	-0.0355
"RHOB"	"x"	6	0.0033605	0.011611	0.748549	4	21	-0.2745
"SGK1"	"x"	6	0.0038878	0.0132	0.748549	4	22	-0.226
"TTC3"	"x"	6	0.0039303	0.013312	0.748549	3	23	-0.2335
"RARA"	"x"	6	0.0039324	0.013319	0.748549	3	24	-0.0842
"nc_chr11_11"	"n"	1	0.0039403	0.0038601	0.711139	1	25	-0.512
"JUNB"	"x"	6	0.0040437	0.013661	0.748549	2	26	0.0491
"nc_chr2_3"	"n"	1	0.0041828	0.0040844	0.711139	1	27	-0.418
"SIK2"	"x"	6	0.0054225	0.017556	0.781704	3	28	-0.322
"CHMP7"	"x"	6	0.0054435	0.017587	0.781704	1	29	0.1967
"RAD21"	"x"	6	0.0055232	0.017774	0.781704	2	30	-0.0258
"PRKAG2"	"x"	6	0.0061046	0.019269	0.781704	3	31	-0.2579
"ZFP36"	"x"	6	0.0061674	0.019456	0.781704	1	32	0.09195
"ADRM1"	"x"	6	0.0064954	0.02016	0.781704	3	33	-0.2805
"ERCC2"	"x"	6	0.0065578	0.020335	0.781704	3	34	-0.402
"NFATC2"	"x"	6	0.0068909	0.021201	0.781704	2	35	-0.05245
"DAXX"	"x"	6	0.0076139	0.022914	0.781704	1	36	0.024
"PDGFRB"	"x"	6	0.0077527	0.023238	0.781704	3	37	-0.1855
"RPS6KA2"	"x"	6	0.0078305	0.0234	0.781704	2	38	-0.0665
"HSP90AB1"	"x"	6	0.0083366	0.024572	0.781704	1	39	-0.01384895
"nc_chr14_6"	"n"	1	0.0086688	0.0083401	0.711139	1	40	-0.314
"DDB2"	"x"	6	0.0086821	0.02527	0.781704	3	41	-0.06895
"LATS2"	"x"	6	0.0090587	0.026117	0.781704	1	42	0.01925
"MAP2K6"	"x"	6	0.009124	0.02626	0.781704	2	43	0.11215
"RAD51"	"x"	6	0.0092079	0.026466	0.781704	3	44	-0.2965
"SLC4A1"	"x"	6	0.010242	0.028859	0.781704	2	45	-0.0808
"GTF2I"	"x"	6	0.010502	0.029513	0.781704	1	46	0.0065
"FAAP20"	"x"	6	0.010556	0.029644	0.781704	3	47	-0.22195
"TRIB3"	"x"	6	0.01106	0.030678	0.781704	3	48	-0.178
"IFNGR1"	"x"	6	0.011606	0.031931	0.781704	2	49	-0.0253
"SMC6"	"x"	6	0.0117	0.032186	0.781704	3	50	-0.353
"EPM2A"	"x"	6	0.011888	0.032597	0.781704	3	51	-0.20455
"PAK4"	"x"	6	0.011943	0.032741	0.781704	2	52	0.00635
"JUN"	"x"	6	0.012078	0.033027	0.781704	2	53	-0.158
"IL6ST"	"x"	6	0.012663	0.034373	0.781704	2	54	-0.08175
"GDNF"	"x"	6	0.012949	0.034896	0.781704	2	55	-0.2125
"FYN"	"x"	6	0.013048	0.035139	0.781704	2	56	-0.2365
"NIN"	"x"	6	0.013127	0.035326	0.781704	3	57	-0.238
"RNASEH2A"	"x"	6	0.013246	0.035538	0.781704	2	58	-0.1647
"KLF4"	"x"	6	0.013383	0.0358	0.781704	1	59	0.004
"nc_chr9_11"	"n"	1	0.013518	0.013369	0.748549	1	60	-0.52
"LYN"	"x"	6	0.013995	0.036978	0.782826	3	61	-0.248
"GATA2"	"x"	6	0.014102	0.037277	0.782826	1	62	0.1865
"TNF"	"x"	6	0.014442	0.038056	0.782826	3	63	-0.005
"ARNTL"	"x"	6	0.014542	0.038292	0.782826	3	64	-0.2805
"SGK2"	"x"	6	0.01482	0.038978	0.782826	3	65	-0.129
